idx,l_angle_knee,r_angle_knee,l_angle_hip,r_angle_hip,back_ground_angle
290,82.43690906817088,68.86074441245044,126.64730641300942,123.7828318199612,6.430356394255471
291,85.72191558881319,72.34379650423557,129.07451118840797,126.55428253280589,5.5936655976348195
292,90.09522682954892,74.46476150548853,132.64017500097245,128.2331627915,4.109710628280021
293,91.97785636180987,76.97881875744368,133.06998524793693,129.10564436183589,5.212980900573209
294,93.06854076728062,76.8148348235908,135.81701385361256,130.75122950535777,3.4233735184296767
295,87.64485495535149,78.55080754283273,131.4228112846384,130.79821061927473,1.5036314352261346
296,96.29992251899854,81.8016248309925,138.72177970867787,135.632603904933,2.644033518110056
297,94.33501839783554,81.37040993869338,139.4117051103129,137.2872355873437,0.6684319526284115
298,95.58553472116559,83.24918878413065,140.31516601306458,137.75862080195088,0.04127261488906753
299,94.7241279252712,83.05958775026996,139.56965535746164,138.61269272201952,0.8570163542297473
300,93.71722701831729,85.07374910606468,142.88221828549692,143.86951929898075,3.7532180504177974
301,90.31727464672775,82.12420685390725,140.7472486209402,141.58152064101483,3.3347060250122253
302,89.74594397532344,80.51634741690228,141.34296322607102,141.65312127367764,3.955544343694049
303,87.90386604415193,80.27714831807887,144.22608039682962,144.99183765790966,7.23220773998688
304,87.25515368381541,80.74800971112028,145.83710966656528,146.15970146463235,9.75514980821433
305,89.39843859819075,80.36867468301456,144.60307319544077,145.39746097991195,7.2266143434612164
306,90.62555838555384,82.30321472486587,145.5158346473909,146.24101719720895,7.547641774475807
307,86.09530786193305,84.43064405573087,142.38794552064806,142.46740311416028,5.464584596322902
308,84.22133971054822,89.6073564236225,137.43925999043122,145.47947205791817,2.885501495548511
309,84.37777661747911,89.49329030246794,137.8203015611179,146.20552385377314,4.339756295721236
310,84.31749394667965,88.31453578142408,136.42580986346522,145.02139811543202,3.9769612818570685
311,86.06777355209101,90.04808534849718,138.92735317150812,147.15606755529575,5.111989251223875
312,81.19955911603384,88.62494924189502,135.09229029354202,144.49621124632623,4.803938844761684
313,77.43317024741515,86.67454082617645,133.6195005300557,143.87686899549138,5.520856650327336
314,76.54575614527009,85.65075676039076,132.3447626400553,142.28926101040997,5.961300377745921
315,85.62965633180244,92.20277246069244,139.71786903687425,148.97207793944955,6.237851988644166
316,82.08150259297312,90.49859032329219,136.32071259837647,146.39618472504748,5.971343560046223
317,84.6283508700702,91.50689063379791,139.15563185203067,148.41123734281533,6.348905030120707
318,82.97305547063472,92.0835863574012,137.25883674371875,147.07821640926957,6.501004398800288
319,88.46578818130263,93.25509968754127,141.97665997054526,150.4207809483548,6.615800974607516
320,88.45637035785234,92.97249131268288,142.4807136939001,150.79016035181726,6.920012479623739
321,83.76641300321856,91.38433327930558,139.22065928407827,148.76328933477,6.236261252460404
322,81.09826579108892,89.35461715277381,138.56966985316268,147.93729384758555,7.471398781707765
323,82.84099256887211,88.28914514256074,140.18524839239532,143.25817680977963,5.766788255050553
324,89.84931566590838,91.31141427192279,145.30083632486804,148.4723145211607,7.291544101457022
325,92.02851739142436,91.18784643302057,143.86505541096795,146.0339258512433,4.469385163202428
326,85.37929289237115,89.61666824515304,139.19663568994875,145.98440326944277,3.7167751041745665
327,79.52803401844403,85.64768490751759,134.45572459767672,142.15503981970133,4.082655719679903
328,89.15468007056052,89.95031992039598,143.07253908443485,148.64400879973235,6.413036159714026
329,89.08592765682734,82.08120066858545,144.66388796538823,146.70381613224865,7.6532598850624485
330,90.32597439009417,82.91527318214578,144.5286265441621,146.66238184017283,7.004092027455494
331,92.2279916709424,83.043236860126,140.64411796653607,141.32553376395023,2.1524493542533327
332,96.37059231776068,84.25571535698984,140.63617649671272,139.77727304156366,0.2541732858397042
333,97.56722208336613,84.21744363311686,140.35573590964896,139.11290800455612,0.30111824574494855
334,96.3700786635581,84.15616422800169,139.67911671963918,139.31341891595198,0.4665226195314265
335,95.4017377939283,81.755288879513,136.0874965060655,134.29957822489646,2.987101416153194
336,70.49366896699799,69.9115454170836,121.30574105188501,123.97478982831217,1.6725760580657136
337,87.07635139294727,73.78816668092834,128.08146649571614,126.82395851107387,4.442684754167304
338,87.91555576474654,73.22832352278898,125.57959971570314,124.57725562646054,6.2020348817593325
339,86.26085065315787,-1.0,121.5872471284432,119.90930722135427,41.16700768936491
340,68.82755480123036,64.60580477485357,110.30941375425841,113.09127823154355,11.765645372750761
341,82.66257138292399,73.26177721152075,117.64993211937741,119.02659138091506,11.806117654344735
342,80.57132378903252,70.0210322669206,113.30176914960896,114.87333479787294,13.478546682709208
343,82.83384502466042,77.36757865033455,116.41545373512409,120.0339227052884,12.56319734137023
344,82.64336260634306,76.15305368072657,112.57394197403868,116.0546910115859,16.045882809754417
345,77.86450159148667,70.49454138545894,109.16182664368176,112.49108483464641,16.53169181470965
346,77.8016194285381,70.12493699052567,106.2087426194789,109.76164550913462,19.46983686703592
347,78.66735653708561,72.94378211328919,103.1536288727435,108.36345669819498,22.750349488019594
348,78.12330951371965,71.19071655316863,100.30144421983027,104.88664015257429,25.082415045401657
349,76.101242318817,70.01682207549534,98.59720580762507,104.64540036543264,26.17469865823721
350,62.573015246282154,57.405427185125816,88.89661159479961,95.93961575237842,28.752696087430916
351,62.18393462155265,58.227168434498054,86.70900587431423,95.3770925597196,31.724647419763745
352,60.13223407051546,55.692561427371004,85.27820663170118,93.25045237843905,32.16281632814574
353,59.54252788021117,55.61665409100778,84.12980632857234,92.97329591424568,33.358663832273365
354,72.57150320854696,71.44284754622231,91.77296160532804,102.7728920829488,32.464415303280575
355,58.343697943084344,56.34356964299929,80.18733286333723,90.23793089470888,35.105374222540576
356,58.94641264856136,56.597659961152665,80.08441592842965,88.78985539474517,35.66107242709027
357,60.218519394714306,58.26261680653224,78.82563756320795,87.86194952280445,37.91107995460109
358,60.651981324097406,58.674049879017055,78.04212781822059,86.82875281671613,38.70545325946966
359,60.868280976292375,59.047680403716726,76.51149059036817,85.79336551800542,41.05461231242219
360,60.45576540782785,58.895873364122906,75.50858699256096,84.4423468608262,42.07132744436107
361,60.50099069711186,60.153143172996664,73.47439608906271,83.53923802633119,44.419085514879114
362,60.386858700640666,60.25202275209008,72.27208958051237,82.57069908387602,44.32645702227852
363,62.16310102862116,62.09977415392597,72.54516564898742,83.35315046831137,44.86679174169799
364,62.017039226162225,60.449107946915284,71.7411421514482,82.0580172613664,45.4153608517389
365,61.390913227304,59.028140752374185,72.50825894423788,81.7912957233634,45.09723141414653
366,62.41353337627474,59.73128872132731,71.75796301097571,80.29270195371667,46.73669110222999
367,62.95937086661658,60.680528035656785,72.04244874086352,81.24383531081259,46.36592608215137
368,62.647834570362186,60.73163531398291,71.9895588869498,80.85992039411848,46.354690881397325
369,62.42786674164545,60.35423112748833,72.0637376972927,80.91380311894072,46.58516159850963
