idx,l_angle_knee,r_angle_knee,l_angle_hip,r_angle_hip,back_ground_angle,dist_ankle,dist_knee,dist_hip
44,53.392331591368325,51.0498338772163,65.0577301769287,70.94646191020877,54.92870841033906,26.30217987194694,16.28522549600993,21.37736211178988
45,48.54623451787999,49.10110333868202,67.28938851751741,73.36225118185703,52.61155839847596,30.363061018772903,20.296921276461184,24.494894579672145
46,48.734520503052416,49.94797563293718,66.94240441730122,73.724795738687,53.27221403013394,29.615134161619412,21.209845373782127,24.965740352571952
47,48.74064448221048,49.86600477641715,67.48893535841042,73.79657774058607,52.525668089407944,28.997071565672925,21.28813795138228,24.696222090631267
48,55.964046203581866,50.067884968130336,67.47180280035217,72.05947870357484,52.15886709500051,40.56468527592363,24.65815928729098,26.37076025966543
49,48.46620829993606,50.139848943591915,68.11085938486715,75.06247623759123,51.93314416443938,27.93677222222492,22.145525525951438,24.965014659909567
50,55.67586949664217,50.01183355468884,68.06220992579557,73.48130327993893,51.53372310140495,40.972992022596706,23.604548557333814,25.533470555164598
51,55.82774963000565,49.54224918447444,68.55288053919536,73.54813396712754,51.30110766870413,42.361396590485356,22.546292968703796,24.565522125227936
52,56.01031517727944,49.503298662108485,69.69464669106576,73.95180332374231,50.46026630193604,40.17676364855941,23.71314212310108,25.842374164858676
53,56.12652252511999,49.96438265610569,70.25226394023521,75.69074954302975,49.915932266232886,39.30530285966073,24.351961607690704,24.839605985437277
54,55.3654545501535,50.45030998227499,70.48540109401172,76.80938997643707,49.497576317276305,39.2953125103164,20.41055930529067,24.967587327265385
55,54.17366135532511,49.59664587819746,70.8345858802902,77.22999621536879,48.0613891666039,38.11041760065636,19.421679190514055,24.41383247343418
56,53.51811252170409,48.93643891263971,70.51481876808177,77.18847225380246,47.796838944461676,39.82108177904583,17.886009336809714,23.307616784804654
57,53.776693643750285,49.43610908065417,71.24710721139476,78.37058068550552,47.82284074806951,39.928738485201265,15.56036246155034,23.125822088249915
58,52.28892260218982,48.364168335718055,71.68835596365943,78.76423117295876,46.49433359126653,37.99503861884243,13.974334518027513,21.907237424003057
59,52.62815596326558,50.22978283282395,72.63539857433956,81.81531670445995,45.69550903889974,36.70658476786237,14.667833259683114,23.051190571915487
60,51.66396691731306,49.80869020629971,73.29375623681219,83.42760102014903,44.543706506278546,37.5646401670769,14.872807970745688,25.083398450201102
61,52.02505378549899,49.40896700636074,74.36665928628865,84.2317264283068,43.05804564435683,39.52409129782315,14.2421883584638,22.3898279037534
62,51.830195300672145,49.03379012061429,76.02220207419793,85.42467555337042,40.89230802126072,39.102736732503644,15.586824274410965,21.652926382800562
63,51.86301667143785,49.76040902467961,77.65838047970105,87.7134278242429,39.3278942357712,37.52079904495423,14.604106176485633,24.502006142240766
64,51.20872550102046,48.42727636832335,79.1799310748822,88.94143849427745,36.60716154221177,41.877561038703774,16.568244708841597,24.8035098143972
65,51.096472745300105,49.50107012849155,81.61469586597693,92.40428591257262,34.612055664731926,42.03342717161832,19.4061203648396,31.514937194551493
66,50.706475484645665,48.95406719769472,82.0957582648393,92.8545837328832,33.410958461404114,44.73071671359831,19.140408157560582,30.91543017157254
67,49.76361903495888,48.538347656155345,83.22570257713275,94.46574571557996,31.75722502092645,45.329244500348295,20.328938958408823,35.349824890142834
68,49.77410858657322,47.40682965898115,84.08105073834811,94.02509824236809,30.839901462141412,44.758559634594654,22.968381851921126,29.599194727529024
69,50.02671257323588,46.15740562312744,85.9261651471257,94.82674176757963,32.62465673600588,46.79547740512271,29.23887825079588,27.898764541141077
70,50.32233852115326,47.06219796362369,88.51855402164335,97.36185949820127,26.18391150243387,44.749574391218154,27.94441735153963,30.394661981541475
71,49.93124565660172,45.84753659426855,90.11349815706008,98.9364184863233,26.458549534660413,42.33566994212054,30.404722553835587,27.924640876088105
72,50.233219216083356,46.030777453905415,92.41629117334787,100.67337482390748,24.077291241559863,36.56662388189882,33.041584421989974,28.25443794895186
73,51.39466082587388,47.97682528859363,94.68449688319811,103.003595022515,21.99114930694211,33.07572813647281,36.95274681817442,32.72196110488748
74,42.62999151102904,46.74561317995783,92.46633698506159,101.85461391658525,24.64716396787895,9.269152166001378,23.444273729127,41.986111024963485
75,42.925044006541825,47.51415637878443,94.61321372658522,103.57924858052105,22.485591901568263,9.025531716720552,22.535192685425116,39.39511633950559
76,53.29303348376803,50.568295918399045,101.33490645061296,109.428130278397,15.796589107406703,19.012643281385504,39.71333097329037,30.967098165085176
77,54.034957833611124,50.67323143808131,104.09226866958846,110.76179411060757,13.016413550660117,16.329172410178757,45.299360229502895,30.94533700762652
78,69.02869773826525,61.517598762444486,116.19072504240668,117.8330360922857,9.346881134498208,11.232006670304466,51.904224641485904,28.798206919039924
79,69.86855095830975,61.5948679187825,118.46061416984134,119.72782964654753,7.329354137249274,14.343559495797342,51.62110103708339,30.212722697954355
80,71.00270521050253,63.792823662686345,121.20348984559809,122.77743757314717,5.815620224091892,11.79110881474135,52.14366072137502,31.60464258190306
81,54.883247574702445,50.4147224482797,111.83149581417132,115.24322565605203,6.812669851066858,18.885366500880618,58.83025720913754,35.6305324677665
82,60.4880845670795,48.515714480048175,116.29779400552154,115.22345290289708,11.434248860070154,59.913555709959,87.29784181134413,40.18952388296513
83,57.0194816361204,52.18364841033513,116.4110784086469,118.6657921742776,4.105928487857477,25.10882759803141,67.31410353905454,40.37716125570634
84,58.00572647274008,52.24446098706423,117.73330015822819,118.77728351642085,4.5678631155824,28.75469742273262,75.33181529989585,44.26620812327388
85,57.93409859949982,51.998077355634386,118.20705748083144,118.57650549411352,4.08931726088561,29.462940219325958,77.09145475808879,45.94705354716604
86,58.63593990668417,52.80190003347617,120.59155440738859,120.98203950868204,2.5985317809925585,37.73188122417724,84.82196274326398,47.891731928110076
87,58.59118154068545,52.68700363028704,121.00705402830853,121.11281503276366,2.2013875433591403,40.400282528822316,86.1750138215675,49.71795047690949
88,58.37800479023614,52.5030416713234,121.33785894033035,121.70739744686877,1.665718048465922,44.16866621273264,88.75462710926145,51.159956354463006
89,57.877588400578084,52.001665528744034,121.40126991303543,121.11488225193344,2.3543365081804026,46.93526083014088,89.19053917552725,52.44346411760868
90,58.47848818899108,52.612113370385494,122.41646977345923,122.01470447076251,1.6221101621605394,47.991933474053944,91.54149172454352,53.95532768592253
91,59.92438177585682,53.589731155949345,124.06166144519702,123.34931290424889,0.643678127914415,50.20320171922603,93.7924854465071,55.80962890577602
92,74.16582123712364,63.77013716149601,131.55994011874492,129.61758138328148,1.1107099110501875,46.29995914534925,90.02335023735078,52.61648294908878
93,58.5134392517737,53.08482892020832,124.19343431498282,124.00137392241055,0.5498633168617091,54.22522365804159,91.1858285907382,57.87238728667268
94,58.383975274477635,53.61511299379046,125.0150299304293,125.7467237474988,1.8221253063589797,54.33265542652902,87.82997539984382,57.61722238992184
95,57.443771172043874,53.45854313788614,125.05654477511555,125.88871843122497,1.0612033031892267,52.94300194227468,84.10123004686497,56.01411036717439
96,57.054030200810395,54.7281860451663,124.5292039794357,126.69698202348367,1.2409852052900248,45.264389661223014,72.41176397482383,55.49675358240863
97,56.769341847521666,54.98941992799609,124.06802567577354,127.29269684669622,1.6481436471402906,42.98299652409181,68.57884950968351,54.15541067989103
98,57.48450851864963,54.51388966499302,125.36354372262379,127.08995732873777,2.348201217868144,45.17364957982926,78.3713343662762,56.86701165680571
99,59.18273576446379,56.33037618233044,127.57054893211688,130.04597203574113,3.920670015550342,40.266406290300466,75.49944391395776,57.51678663049425
100,60.587736434253166,56.33849878180788,128.49589400548695,129.74199347260696,4.260575916960921,44.54136434638927,82.67032277388579,58.324813529354245
101,59.60866841574429,57.41118122176705,126.97603050953121,128.8916827233366,3.566909695811876,38.22564411375741,72.00672103845896,60.7641205605102
102,58.17350781168494,56.610579769180596,126.52552685316314,128.26485910097938,3.677019559282404,40.719829062621876,73.73177018208142,62.5850534422183
103,60.26279770496072,57.85605715255423,129.28038421097295,131.28516615958705,5.369302446376932,41.53962757715612,78.56824454048625,60.715253348546696
104,60.92796397411182,57.963935019685785,129.71279016518048,131.31938696084475,5.174596612208278,44.07485456197397,82.2897630414542,61.56768296451695
105,60.20536639110909,58.1491940149308,129.58251064026746,131.43707755051093,5.468529986636364,39.40800141294821,77.80735017470934,61.190883446002445
106,59.1318690799104,57.437518555668206,128.28439215121068,130.27181905213504,5.3545471499442225,38.27944196227786,73.30867391759676,60.13490885147849
107,59.66429588673389,56.998292637239516,129.1511177826341,130.95154784975855,5.429401496028971,44.19149511398187,80.78959398564704,58.76193327909915
108,59.54957750785334,56.60214479652651,128.39874519181848,130.03413807606972,4.825859193462446,45.768953266524925,82.68948630757501,57.94472242914202
109,59.3056082578985,55.806629384964936,127.68754968231504,128.85842293024734,3.9571224943507386,45.97395145210139,84.90675705296142,57.995235850176655
110,59.716888528735495,56.587734410201776,128.03875063016602,129.6381763286159,4.094558065342998,44.06885508107303,83.35537375424231,57.69696332923931
111,59.22280421656456,55.4549046369371,126.31180272958704,127.0476597408749,2.409519938548431,47.8060644755852,87.21790308389089,56.93284960556533
112,59.840391712503354,54.61516764668566,126.55232347181894,126.76471574995547,2.215492500110338,51.540002445383074,94.38141348805037,56.566451943237276
113,60.358823622636706,54.24585150765225,125.2704349513949,124.82447958669374,0.5298031164358405,49.97948970681749,96.14962271579556,54.94269231073535
114,61.64572552800452,55.19209866408695,125.23834729658537,124.69472917397097,0.015644432418222064,47.9586904926885,93.92280408714333,53.144721332477886
115,60.2925624633804,53.68724036173113,122.83813930386239,122.34323226437692,1.8587709530916858,42.204606567995604,92.96081548446834,52.113919496362925
116,59.93443927880685,53.207803069763294,121.90200845549691,120.59865052197323,2.135857288643983,40.52347665179819,89.99074858066817,50.274380983341146
117,59.878934586385256,52.79298065675949,119.61772728114043,119.2063826775979,4.893518992353121,32.843607717620074,89.14692054488302,48.088519258783826
118,58.1274090601371,51.72973714179603,116.9244793768112,117.11694731603916,5.286797691086673,26.791111140297463,81.09018142812637,44.3090355858309
119,57.57275689021334,51.16536030102425,114.80099763737553,115.88734089164743,6.235880605372902,22.060614272209282,74.19366822342391,40.52795276400269
120,61.91694516597635,49.79582347173086,116.152904705083,114.71656369711012,11.381475625885974,59.547744710216946,95.89320055311407,42.12645824723039
121,56.27622703283741,50.994149343171465,109.39609942533973,111.94220222642205,10.067165988001339,19.873752086320813,60.10563849248518,34.6378029737714
122,70.49297426505804,62.147307932031374,116.20521453174943,117.73846779977643,10.78346922421295,13.759713808947614,53.844397470812254,29.667774282487365
123,68.65575461599305,60.01626411468863,113.72675903202551,113.82414354196332,12.045632385265794,10.125185700661069,56.12029150802281,32.92885456638208
124,42.91796087854516,46.4267918473827,94.48898967410746,100.83815840435742,21.737660278014715,11.894698172527079,21.761132661650716,33.09367189823639
125,42.57918811020029,45.27781661580568,91.69616964086863,98.98798652053121,24.81257297549125,7.193714027714627,18.654399388067265,33.50609407428894
126,52.02350275895258,47.31218939285119,93.0817953845774,99.60892458955978,23.634436942388906,29.877446125978192,39.450434161902116,28.095518916616435
127,52.05525212145277,47.90118585751185,90.93043068015936,98.01336719669759,26.89622770885618,32.132972800647735,34.629280658266886,28.45661763222485
128,51.27083729780084,46.75397492195201,88.22305653913003,95.37236558563158,28.71806525426013,37.58320679202441,31.68907378170982,27.101404210563366
129,51.033879512192364,46.581816453511635,85.45282708325921,92.45421762151395,32.26189419120709,41.675238698119585,33.22781574469015,27.85598271466426
130,52.27365976069934,49.32613877169412,83.96317590667074,92.58881911505996,35.254400020346885,40.76967314474061,28.538020988364078,27.8118528379198
131,52.7080043989974,50.7471434104328,83.06692741578749,92.17621045009892,33.75010404725514,40.708617471552266,30.08225735425031,33.9114246046614
132,51.84606545783977,49.32865902004375,82.30475239532126,90.22259787251994,33.820987927439745,37.678631453297655,33.80805802590217,32.02845261768011
133,52.194866446448614,49.055658762848914,80.91286510482846,88.73357105450434,34.85866185191523,35.81032768898404,32.62988577700189,29.448259974129424
134,52.11442538977356,49.10745789509627,78.66250278219711,87.21601353915105,36.56259007213835,37.88330797483122,28.07910099473326,28.541783806535516
135,52.356841074640485,49.09851728061536,75.85998796010348,84.13686055195848,40.03282164304082,37.29435024547582,26.598267254861327,26.726811410416133
136,52.607815657446196,48.93217519859547,74.32174960633752,82.0387408939905,42.39201100427669,37.328319924705575,28.956017908425657,26.627855237493762
137,53.432577544820546,50.400577654445435,72.01775798157753,80.366963049196,45.92729991399217,38.21868204451594,28.52531827109726,30.979611687414256
138,46.95869873803317,52.256731404365574,71.35449176939879,82.34473208587154,46.814987853508114,26.164818722423576,32.210541132268226,41.8223331151849
139,54.024560306644844,51.993311395506524,70.53901589116595,78.66308199751924,48.81339093207874,34.75984566347302,28.60236264272454,30.469313607994128
140,55.196563787233096,51.95507196208399,70.4113536831481,77.12787354231212,49.459448273678035,35.550630301614135,28.932511168542,27.669769437545984
141,54.56588480192951,51.32492518820368,69.17686667807713,75.8755720350015,50.6073436976091,35.19012614813058,29.199964357524,28.116110627782238
142,55.50158995236016,50.628345693162075,69.36687516802779,74.31672587618192,51.12492320299106,37.9079199142152,32.087408318918484,26.587809876762304
143,56.31950365867229,51.94684741026346,68.51656220936626,73.24470838151987,52.29575677860918,36.459493933670714,31.121523625754314,26.24858646283849
144,56.25119610247364,51.93939734181691,68.19299264119549,72.36985815948539,51.957825471986396,33.209154113520725,29.903458525613342,25.37920701459479
145,48.85331168428984,51.04197266571065,67.34512643619453,73.53131318710511,52.59911637584378,20.147088238744754,21.038412959877235,25.324894874146032
146,49.31749720091849,51.38698593917527,65.93279556496404,72.2668153281799,54.4940298857589,21.819357677511718,21.008496006397127,26.788138731670514
147,48.857962395881955,50.77794027278363,65.78642619364588,71.65239985306576,53.63600820123682,22.22095239648171,21.680704155273123,26.974677501136973
148,49.396154455115514,51.64293510349859,65.25478990751111,71.44751036578846,54.37871443580556,21.493599134467853,21.450643704614706,28.14272858937335
149,50.07940316701476,52.421294090596774,64.68096070040833,70.87482484713193,55.69054277080209,20.843082231855178,20.784245330103936,29.65918717395705
150,50.08072551242634,52.52255522741521,64.22243382875294,70.3247572608758,55.84041618514889,19.14754126485175,20.847187272319886,28.74607260515742
151,49.99720897214029,52.63502397827262,63.584751303230185,70.13489863115345,56.38155754066916,20.350650079559184,21.928839023995767,28.578648420906436
152,50.04492464310312,52.746524916277004,63.28893142828066,70.26783424531298,56.53129600215621,22.7394494623656,22.584721813605263,30.30947053324244
153,49.37687635495894,52.15236694866189,63.57282221597055,70.46176099661487,55.683774020485025,22.111662875481997,23.219034417183003,29.738872825907283
154,49.88792598247643,52.80262404706411,63.588622628661135,70.64271018318524,56.110977837721904,22.427424027003127,23.251432761946823,30.862510391494713
155,49.72257803170779,52.87542486024234,63.80360619343202,70.97227866125081,56.03522843531108,21.60756116574074,24.310233381298378,31.215766186236877
156,49.19313181860734,52.37704880203944,64.07763211885472,71.1808821736905,55.3867863283726,21.49213835185171,25.531615421935054,31.076865427461744
157,49.297474971344116,52.44507774979032,65.14172007682464,72.4328086672108,54.4268209691371,22.409716735169216,25.83929297133409,30.968807501046644
158,49.66809198812088,52.65574242238412,66.05265984197192,72.8812547883803,53.509752279669954,21.717979961426025,25.34896663547806,30.87135256240412
159,50.65436262618054,51.18832385819713,66.22788090555765,72.34170943530492,52.60433401629072,28.360295410579454,24.682388234666078,30.32609023964388
160,50.42095351098632,50.753355792022,67.21893386196157,72.80560259831175,51.29545410148041,28.59647541014216,25.8704347142248,29.617896028084616
161,50.0498009703214,50.990013691633045,68.44231919254163,74.77918810447703,49.69278267879815,30.508802335484773,27.833016478935786,27.64963116350228
162,56.40853840609604,51.51736978164067,69.65861639144562,73.42702450595758,51.44629959848217,34.33178945429759,34.81755199385385,26.564067657997047
163,56.1148295488007,52.820256195158564,69.27781796956141,75.24541915725905,52.051227938310966,36.86786629889236,32.32710315116172,28.537352819385383
164,55.44215842524358,52.1757392380538,70.38056636597173,76.82962980298277,49.675943101873344,35.13509697238076,30.804036319084922,27.71952619307166
165,54.34495183347222,51.38955400216681,70.05202169790233,77.0254912284174,49.748953787210915,36.703217429813634,29.945408446887615,29.032009647666023
166,53.02223302872783,50.33682977444562,71.00278478047959,78.45873881873476,48.02014210237601,36.539453796637375,28.956989359056674,29.39507361079614
167,52.29934011062925,49.86535695425426,71.16561241524452,79.1499289600424,47.29320654920745,35.05932489578446,28.225452495832716,29.123835501559963
168,51.98737764417937,49.861474091687896,72.65649711557695,81.06910389486417,45.03492825516538,33.579075246084756,28.063841764604128,30.51183594903498
169,50.85296012808317,48.48693199144796,74.13266218224814,82.89431507185003,43.0357736603718,36.30276557713787,26.50841463252819,28.31890279299935
170,50.59523885735222,48.01880920784653,76.39308339663604,85.0871728122656,39.5616542976941,35.42532287518366,26.607589983036288,27.161028693750552
171,49.398298803132676,46.98711095589807,78.52497592955142,87.4490477942639,36.13950397818128,35.926224159929525,27.579156100841672,28.905585572235992
172,50.53655187600314,47.65768314026639,80.94109351456352,89.34661610487392,34.83336286782423,35.55802213724197,29.746569186034865,28.651126540384002
173,50.34263321899179,47.61397283588978,82.46894166517873,90.34604750993628,33.14131091146398,35.38962454014622,32.65591503593518,31.38997824787302
174,49.618084506533684,47.738244971251184,83.61052740072944,92.28985224565893,32.101552833477434,37.53126340846196,33.230330505458525,36.41623857787451
175,48.570034900734555,43.48260558567305,85.47901136433742,91.54993388769599,32.99466217183917,45.89007625428918,41.75390848341481,30.691533752544096
176,49.133654034514784,44.28918851239393,88.46749859240275,94.77538606544353,29.761054771572518,40.96856114918118,42.25661361693199,30.695981996827058
177,49.412852713443684,44.074091763664285,91.16855827055481,97.51678453181363,26.041933450697616,38.879462246738555,46.04252603053183,31.806784367668424
178,48.81316637213576,43.22151343239547,92.32357132632386,98.32661873674508,24.133220596307424,34.737890863804104,46.45996784869657,28.961328255124492
179,51.58023839684479,46.22609266518784,95.32500823286182,101.57173668271464,22.408188386192904,26.428245990557865,47.57899903488403,30.009842714619705
180,41.68898923258553,44.34324711683581,93.5444334701601,101.15707688943519,23.882274640350285,1.3842710750511902,30.044005237549342,39.22179565857051
181,42.72690141155973,45.910749334611936,96.255454239066,102.77786387054194,22.25438407058234,13.051024392618178,34.70668073127261,39.79052500454392
182,43.379604253820446,46.48831587125322,99.07737320575153,104.46711540449009,19.737846502494882,22.748277365316056,39.21543456925509,39.14843424735382
183,67.41558878821976,58.439426498692285,115.94488114542457,116.49146765734852,9.907094632823487,13.23289511900634,64.46831737772213,33.99739753690146
184,68.71440835488711,59.09302366528546,119.0826400862178,118.88387893735919,7.0638144413259765,15.8766964276802,65.48955389496209,36.59899683156325
185,69.7138449354167,60.81528751285308,120.69786525906913,121.27107559642121,6.952875213778742,11.216464806765405,67.91603323543197,39.13992504552375
186,70.7690367334171,61.57336017194084,123.25604409087941,123.03328985845431,4.8372894817296705,15.610051179972272,70.71753219324843,42.37450415770751
187,63.040255881793954,49.438777603088546,119.85722174589463,117.54422046413576,10.594140941585472,62.14210018144175,99.3761582814881,46.657504122519065
188,57.097430198204954,50.72440923434925,117.10000500741172,117.5101076680858,5.247485110139382,37.60104985168033,85.89259522935329,46.861095321602306
